编号,怪物,功能位,生命系数,攻击系数,移速%,攻击距离码,前摇s,经验系数,掉金系数,主动技能/机制(数值),掉落源
1,缓行走尸,近战填充/基准,1.0,1.0,85,1.5,0.8,1.0,1.0,无;基准近战追击(全程占比约40%),缓行走尸
2,墓园疯犬,速度压力/群冲,0.7,0.85,130,1.5,0.4,0.8,0.8,无主动;2~4只协同包抄逼翻滚拉开,墓园疯犬
3,骷髅弓手,远程压制,0.8,1.1,100,25,0.7,1.1,1.0,远程射击:投射伤=本体攻击×1.0/射程20~30码/CD2.0s;被近身后撤(撤速120%·冷却3s),骷髅弓手
4,肿胀走尸,自爆/走位教学,1.1,0.8,70,1.5,0.9,1.2,1.1,死亡自爆:引信1.0s/伤害=白怪攻×3/半径4码/膨胀光球预警,肿胀走尸
5,黑暗教团召唤者,召唤/优先击杀,1.0,0.6,100,1.5,1.0,1.5,1.2,召唤:每8s召唤2缓行走尸/逃逸半径15码/死亡后存量10s消散;召唤物经验0不掉落,黑暗教团召唤者
6,骸骨卫士(盾兵),近战填充/防御机制,1.0,1.3,70,1.5,0.9,1.5,1.3,正面120°弧非穿透箭伤-75%(生命=白怪基准×1.0;靠破盾而非堆血;正面12~14发/破盾[穿透·侧背·女武神]3~4发);冰冻后定身可绕侧,骸骨卫士(盾兵)
E,蓝名精英(白怪变体),精英脉冲,2.5,1.3,继承原型,继承原型,继承原型,2.5,8.0,挂1条精英词缀(熔火/冰冻/漩涡/加速);控制10s窗口递减,蓝名精英
Y,黄名首领/地穴守卫,中段教学战(非Boss),5.0,1.4,继承原型,继承原型,大前摇,5.0,8.0,1~2精英词缀;大前摇横扫/召唤随从(随从×1.5生命/×1.1攻);生命≈590@5级·TTK25~40s,黄名首领
B,屠夫(唯一Boss),终幕Boss,锁11000,锁75,—,近战,见技能,白怪×30,0,肉钩(拉拽至身前+1普攻·合计≤45%生命)/冲锋(撞墙自硬直3s·承伤+25%)/践踏(8码+5码击退)/烧地板(间隔18s·约20%生命每秒·烧6s);P2攻速+30%+全场轮燃软狂暴,屠夫
注,—,精英系数口径,—,—,—,—,—,—,—,E/Y精英系数作用于"白怪基准"(=monsters.csv已算成品)叠加原型行为/技能;运行时禁止与原型生命/攻系数(1~6行)叠乘、禁止在monsters成品上二次乘;enemy_types仅提供monsters未含的移速/距离/前摇/经验/掉金/技能列,—
