怪物id,名称,功能位,生命HP,攻击ATK,移速,前摇s,进度权重,机制(数值),TTK(利箭365/发)
trash,缓行走尸,近战填充/基准,150,30,5.1,0.8,1.0,基准近战追击(全程占比约40%),1发秒杀
dog,墓园疯犬,速度压力/群冲,105,26,7.8,0.4,1.0,2~4只协同包抄逼翻滚拉开/无主动,1发
archer,骷髅弓手,远程压制,120,33,6.0,0.7,1.0,远程射击投射=ATK×1.0/射程20~30码/CD2.0s/近身后撤120%·冷却3s,1发
bloated,肿胀走尸,自爆/走位教学,165,24,4.2,0.9,1.0,死亡自爆引信1.0s/伤害=ATK×3=72/半径4码/膨胀光球预警,1发(注意站位)
summoner,黑暗教团召唤者,召唤/优先击杀,150,18,6.0,1.0,1.0,每8s召唤2缓行走尸/逃逸半径15码/召唤物经验0且不掉落,1发(优先点杀)
skeleton_guard,骸骨卫士(盾兵),近战填充/防御机制,350,39,4.2,0.9,1.0,正面120°弧非穿透箭伤-75%(有效91/发·固定版HP抬至350使盾墙可读→正面约4发/破盾[穿透·侧背·箭雨风暴360°]造365全伤1发)/冰冻定身可绕侧,正面约4发/破盾1发
elite_blue,蓝名精英,精英脉冲,375,39,继承原型,继承原型,5.0,挂1条精英词缀[熔火/冰冻/漩涡/加速]/控制10s窗口递减,2发≈1.3s
champion_yellow,黄名首领,中段教学战(非Boss),750,42,继承原型,大前摇,8.0,1~2精英词缀/大前摇横扫或召唤随从(随从×1.5生命·×1.1攻),3发≈2s
guardian,守门人(复用屠夫),终幕割草Boss,24000,90,—,见技能,见备注,冲锋撞墙[自硬直3s·承伤+25%]/烧地板[间隔18s·约4%最大生命每秒·爽快版(原12%)·过护甲·烧6s]/肉钩[拉拽+1普攻≤45%生命]·践踏[8码+5码击退]·P2攻速+30%全场轮燃(=战斗①v2待做·缺失则TTK≈44s),约10~15s(爽快版·玩家DPS2115·HP24000÷2115≈11s)
备注,—,固定数值版(取消等级成长):本表为绝对值·不再随等级缩放;白怪基准=150HP/30ATK·各原型按系数派生(骸骨盾兵HP抬至350换盾墙可读),—,—,—,—,—,守门人不计进度权重(其死亡=单局通关)·复用butcher掉落源枚举(drop_source=3);精英杀掉额外掉时间球+3.0进度(见10号doc §6.4),—
